Country,Average_RMSE_Intersection_Normal,Average_RMSE_Intersection_Communities,Average_RMSE_CSRA_Normal,Average_RMSE_CSRA_Communities
United Kingdom,105.5093418648068,106.73802645056261,106.47195414896558,97.6640595177035
Spain,81.58256710547606,81.58256710547606,132.0149102201149,124.1738796024376
France,125.1019880023026,122.60488221417299,118.64459741752718,131.35992266386276
Italy,119.46836332813045,117.61845422468969,143.30167177751827,253.03002840098546
Germany,86.18307832414051,89.62867776432464,127.84194567503977,160.13893806881333
Netherlands,97.63107445441783,100.81201331957273,709.0755368934698,181.3148177826542
Belgium,76.91835410883726,76.91835410883726,419.9728812593789,110.58640232986826
Greece,773.3364347802459,773.3364347802459,780.9977609553009,540.1985604139162
Luxembourg,230.14740787143074,221.9143024994715,399.5034379929418,255.54138129204762
Sweden,177.77243158198786,124.41513055072835,156.74540008721598,166.93135980059688
Austria,157.17166572594437,157.17166572594437,877.5531338985676,262.00412370474675
Portugal,225.75918538433538,225.75918538433538,267.9555717961351,285.06518054526
Ireland,207.81742550206226,207.81742550206226,317.97667562392996,246.32824866216987
Denmark,47.323745248676296,47.323745248676296,521.3512521473448,44.86523608710933
Switzerland,85.80206025274326,73.49322458341494,74.87278437321405,639.6485444387856
Cyprus,351.7142060212206,351.7142060212206,406.7071084957087,369.65662067312815
Finland,72.27335134624003,72.27335134624003,173.60371465971778,135.1844368651444
Iceland,68.39375404314892,68.39375404314892,122.97914369648844,85.92844061485917
Norway,74.45936140932963,74.45936140932963,57.488880064582986,566.7022110852085
