Sector,Average_RMSE_Intersection_Normal,Average_RMSE_Intersection_Communities,Average_RMSE_CSRA_Normal,Average_RMSE_CSRA_Communities
Basic Materials,173.32922473746297,168.37906304038663,432.111335887825,252.8793564171916
Industrials,152.77241543568877,125.36483606758887,195.65724217166937,136.37831078031743
Consumer Services,138.1431416681964,139.10644677152942,235.73808251044363,140.28363480545312
Financials,150.56762351196997,151.63469391536273,336.5272665959704,251.60830002703267
Utilities,138.02578416160515,137.86037485344454,215.15825763071348,208.5113790879614
Consumer Goods,112.10818297303688,108.86323882030966,177.49474824142635,188.3334855515068
Technology,178.36561395103627,178.36561395103627,825.7222796589258,294.9382487044029
Government,124.62579356657056,124.62579356657056,215.78982337245623,202.83017286294682
Health Care,45.14343254536016,45.14343254536016,47.09440048833196,276.94370010247883
Oil & Gas,53.30491065198129,56.06469190693141,176.21642355278715,68.91708536895136
Telecommunications,143.76382695643326,142.1337074124007,319.1691739355471,384.83973405757223
